,dates,bjt5,bjt6,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91,bjt92
0,1984-06-10 15:01:55+00:00,334.07651955045554,352.55419719076724,361.82152180915693,363.61928169813814,356.2066885739943,353.17455196667083,345.76195883583796,337.899925735988,330.48733260845046,323.0747394792535,310.83224985656483,302.52077678078876,300.3875201192095,297.3553835142841,289.94279038260555,286.9106537812875,283.4290772003566,281.2958205404874,282.6441404559978,284.4419003515502,281.40976374523615,269.6167140938217,262.2041209659774,259.1719843579945,256.1398477539937,258.38704761530596,260.184807508903,261.98256739830805,258.950430790058,255.9182941871302,253.78503752428531,255.13335744538637,252.550660812024,249.0690842346087,250.86684412333898,258.3933804546166,257.5514721104915,256.70956376438676,254.57630710899758,256.37406699648267,244.58101734302946,236.71898424549462,238.06730416271273,235.48460752958562,246.942160415376,243.4605838361921,240.4284472281416,238.29519056742555,240.09295045863732,237.06081385386722,243.6884702410331,245.48623013002725,242.90353349389122,235.49094036920494,232.458803762785,229.42666715555956,231.67386702430153,235.66185517276497,239.64984332423106,241.447603214506,243.69480308071488,245.94200294341402,247.73976283173903,244.25818625816936,246.50538611767968,248.75258598141204,254.9308023950421,262.0078987563301,265.9958869062071,270.01026077855346,271.88696537601834,272.9708060286554,273.00069284642575,282.5152787604274,277.77186374599523,268.2850321765067,273.0284499565262,268.2850343253086,268.2850355526225,268.28503708750645,268.2850386235706,268.28503985206805,268.2850407779306,263.5416260701734,265.9133354183422,277.7718778724793,282.51529595998534,
1,1984-09-30 15:03:48+00:00,,368.7846749678141,371.03187482856197,367.999738221592,364.96760162095745,357.5550084901497,338.2923941056881,321.22000798643813,323.01776787827544,317.79540301084796,295.893120396225,285.8408590312347,,273.2059010345489,279.38411744581356,277.2508607894167,274.218724180976,271.1865875760649,282.6441404559978,280.06144382812397,272.6488506983784,273.9971706172769,283.2644952389957,307.0215093449736,286.8600150188919,,,,,327.0184217088266,328.81618159696234,,,,,,269.401493364108,276.47858972070935,268.61655662435396,253.73439876224643,244.13157737052632,236.71898424549462,231.04717940502377,228.0150427994094,228.07201440408915,234.25023081676463,240.4284472281416,233.0158540989837,234.81361399018397,231.7814773854579,229.6482207256789,,,,,,,,,,225.274097041862,,,,,,,,,490.77378727117116,,534.006180621044,500.7197269870173,,,,,,,244.56795463624363,249.311372723965,246.9396655231187,244.56795832666776,244.56795986356593,,301.4889606306982,,
2,1984-10-16 15:03:45+00:00,,335.8742794412044,337.6720393294471,316.66863665616825,308.806603559529,305.774466952206,307.5722268407827,304.5400902368883,297.127497109327,285.33444745666884,279.2132026466643,,,,,,,,,241.87171183304554,244.11891169520095,245.91667158659152,242.43509500972507,244.68229487014358,246.9294947346019,246.08758638918673,,,,,,,,,227.61624158859556,229.86344145145148,241.32099433338954,237.83941775310916,226.04636810582699,227.39468802078252,,,,225.82481453769037,222.79267793565882,219.76054132895848,221.55830121686023,219.42504455614122,,,,,,,,,,,206.73944779762132,223.02689717565318,219.9947605734814,222.24196043618335,214.82936730512478,221.00758372342418,222.8053436104523,224.60310350171866,231.68019986022395,242.6883127725611,249.31596915664778,255.54753935259598,248.1769114057539,249.25634478886576,249.28395490144928,254.054780064469,249.3113644361855,244.56794972524386,249.31136750526338,249.31136873263586,249.31136995997394,239.82453839156815,235.08112306899335,239.82454054211428,244.56795832666776,239.82454361891052,,,,
3,1984-11-01 15:03:39+00:00,348.1167690658112,360.02376192094846,352.6111687897519,349.5790321827962,342.16643905863725,343.51475897479406,331.7217093204895,328.6895727165504,321.2769795890637,310.77527825317156,295.893120396225,288.0310872929754,280.6184941629431,282.41625405393665,284.6634539142095,279.44108905116275,273.31984423594065,261.5267945841649,258.49465797629693,258.5516295826096,267.8189542024287,273.9971706172769,275.3454905363588,259.1719843579945,256.1398477539937,253.10771114685448,,,,,,,,244.68862771112455,251.3162840958259,262.77383697813764,269.401493364108,271.1992532522368,263.78666012841586,256.37406699648267,248.96147386647277,241.0994407689169,,,,,,,,,,,,,,,,,221.2291372854678,223.02689717565318,227.01488533116247,231.00287348310434,228.8696168204581,230.2179367428252,227.1858001338772,224.60310350171866,231.68019986022395,247.9676492409838,249.31596915664778,260.3684464945818,262.28747245343584,258.8126496666628,258.8601331066815,258.79819661611083,258.79819753945543,263.5416156248506,258.79819999466054,258.7982015289722,258.7982030632663,258.7982042911841,254.05478896859898,249.31137364543218,254.05479173683506,258.7982092115251,,,,
4,1985-02-21 15:04:07+00:00,,330.59494297273955,342.95137579786797,353.95948870625006,351.3767920780565,343.9641989472536,336.1021658439552,326.04990448237055,315.9976431206085,310.77527825317156,295.893120396225,283.6506307694939,280.6184941629431,278.035797530496,280.2829973907294,274.6111925552274,274.218724180976,268.99635931435114,263.3245544722371,265.57175434027306,262.53961773395815,260.40636107442276,249.90465973987995,244.68229487014358,246.9294947346019,241.25768989324,,,,,,,,,227.61624158859556,234.24389797497247,236.0416578650012,237.83941775310916,239.63717764872547,236.60504104016007,,,224.47649461974424,225.82481453769037,227.17313445911537,229.42033432082923,226.83763768531554,219.42504455614122,,,224.36888425727722,230.99654064217808,226.2236157443388,220.55181090890517,218.4185542474366,,212.35428104056595,219.4313773956906,223.4193655471842,227.40735369914387,225.274097041862,231.45231345558636,228.8696168204581,230.2179367428252,227.1858001338772,224.60310350171866,240.44111290725024,247.9676492409838,244.48607266070343,246.30674337565057,252.9766578670452,258.8126496666628,258.73230021062204,256.42648818681675,258.79819753945543,263.5416156248506,263.5416168532441,258.7982012220243,263.5416193079444,263.541620842831,258.7982058272794,254.0547905041231,254.05479173683506,254.05479296686968,,,,
5,1985-03-09 15:04:07+00:00,,319.19436169164146,340.31170756365754,342.10946745263504,332.5066460667617,331.66473772117786,321.1630363836555,313.7504432563259,315.0987631755926,298.47581702708965,291.0632239002789,288.0310872929754,,268.37600453860193,270.1737644263953,267.14162782510266,259.7290346931286,257.1463380607373,258.94409794876617,260.2924178717986,258.15916121052925,262.1471493636618,262.2041209659774,259.1719843579945,251.75939123054775,243.8973581274657,240.8652215251531,242.66298141455457,240.0802847787611,241.87804467177597,248.5057010558645,250.75290092195485,256.9311173354963,254.3484207029989,251.3162840958259,253.5634839586878,255.36124384874876,252.32910724095922,247.10674237886155,241.88437750863258,244.13157737052632,236.71898424549462,238.06730416271273,235.48460752958562,241.66282394694568,229.86977429327254,226.83763768531554,228.63539757553508,229.98371749423694,230.04068909619156,231.83844898741702,233.63620887641338,229.31272395097412,230.66104387326357,232.458803762785,225.04621063214256,222.01407403243377,228.1922904426088,226.05903378141662,232.68669016752455,234.48445006128844,231.00287348310434,228.8696168204581,225.8374802193673,227.1858001338772,224.60310350171866,236.06065638373713,238.3078562490993,244.48607266070343,246.30674337565057,253.26533620323715,254.03449722776426,258.8601331066815,258.7981960022183,254.05478129473238,254.0547822145206,254.05478374996193,258.7982018359201,258.7982030632663,258.7982042911841,261.1699136425732,263.54162299337713,263.5416242262977,268.2850423148288,268.2850438476474,268.28504476919176,282.51529595998534,
6,1985-03-25 15:04:05+00:00,,352.55419719076724,347.33183232133104,346.93936394857906,336.8871025902432,339.1343024513152,336.1021658439552,321.22000798643813,306.33785012871374,294.095360503616,286.68276737683414,288.0310872929754,280.6184941629431,282.41625405393665,280.2829973907294,274.6111925552274,269.8382676575445,271.1865875760649,270.79411920238203,261.1912978168468,267.8189542024287,279.2765070857092,283.2644952389957,280.2323586309848,270.1800972693314,262.31806416624323,254.4560310680562,247.9423178829524,251.93030603237773,261.19763065553184,249.40458100082222,243.28333619177238,245.0810960818804,249.0690842346087,251.3162840958259,255.75371222044828,259.7417003722342,253.2279871860042,249.29697064060164,247.16371397710512,244.13157737052632,236.71898424549462,233.68684763919305,230.20527106112843,237.28236742348912,234.25023081676463,231.2180942087549,228.63539757553508,234.81361399018397,232.6803573303962,227.00855249147804,230.99654064217808,233.24374050201982,235.04150039672925,236.8392602862507,234.25656365151195,247.90434480141732,243.58085987540488,235.71882677331428,237.06714669101527,244.1442430531598,236.28220995152896,233.25007334389613,230.2179367428252,232.0156966298278,229.43299999765736,236.06065638373713,238.3078562490993,244.48607266070343,246.30674337565057,248.1769114057539,254.21079818246733,254.10400222808022,256.42648818681675,256.4264894170939,254.0547822145206,258.798200301603,258.7982012220243,263.5416193079444,268.28503708750645,263.54162176489024,268.28503985206805,268.28504108483213,268.2850420078323,263.5416272960018,265.91333664684794,268.28504599799044,
7,1985-04-10 15:04:00+00:00,,302.51444394207863,323.6317898141001,321.04909317962205,322.39741310242994,324.1951729910405,321.1630363836555,313.7504432563259,310.7183066521532,298.47581702708965,291.0632239002789,279.27017424601235,280.6184941629431,278.035797530496,283.7645739692937,277.2508607894167,273.31984423594065,266.8061310526374,262.8751144997679,251.0820648524221,248.4993682186298,249.84768813755812,247.71443147814972,244.68229487014358,239.4599300044332,234.68700510807696,240.8652215251531,242.66298141455457,240.0802847787611,241.87804467177597,248.5057010558645,245.4735644534881,247.27132434361656,254.3484207029989,250.86684412333898,258.3933804546166,265.0210368406225,261.5394602603368,259.4062036049357,256.37406699648267,248.96147386647277,236.71898424549462,238.06730416271273,239.86506405302373,241.66282394694568,233.80079084432134,240.87788720064958,243.12508706337078,244.47340698207802,246.2711668732784,248.06892676450934,254.6965831494058,247.28399001738194,244.25185341613633,236.8392602862507,234.25656365151195,231.22442705186631,228.1922904426088,237.45961506251467,241.447603214506,243.69480308071488,245.94200294341402,247.73976283173903,244.25818625816936,246.50538611767968,243.47324951301226,245.27100940318087,251.89866579196516,244.48607266070343,246.30674337565057,252.9766578670452,263.4145011508583,268.2445619678245,270.656737534796,268.2850309496372,268.285031869489,273.0284499565262,275.40015930624577,277.7718686559149,273.02845394612467,277.77187141986184,282.51528920001294,282.51529073973074,292.0021247660916,292.0021259919454,292.00212722045455,287.2587122046193,
8,1985-04-26 15:03:54+00:00,,,340.31170756365754,342.10946745263504,336.8871025902432,331.66473772117786,330.8228293755382,326.04990448237055,320.37809964404784,305.945381757232,295.893120396225,288.0310872929754,285.89783063137736,282.41625405393665,284.6634539142095,279.44108905116275,274.218724180976,268.99635931435114,268.6038909406465,272.5918790979365,272.6488506983784,269.6167140938217,271.41447398538037,282.872026865222,279.83989026122305,274.61752539236244,273.77561705180614,271.64236039018476,268.61022378193064,265.57808717900815,262.9953905436904,264.79315043728457,270.9713668508483,277.5990232377788,279.84622309899964,277.2635264659241,279.0612863559818,271.6486932247593,268.61655662435396,261.2039634924327,253.3419303899161,245.92933726486814,242.4477606862324,249.52485704491897,250.87317696634568,243.4605838361921,250.53768019254426,247.5055435868194,249.7527434505314,255.93095986515874,253.34826323291105,255.14602312192665,257.39322298169833,264.0208793723775,260.98874276595757,253.57614963532163,246.16355651210318,243.13141990292115,244.9291797926959,241.447603214506,239.31434655722413,240.66266647498944,242.46042636328184,239.4282897622262,237.29503309830415,241.28302125127348,245.27100940318087,251.89866579196516,249.76540912913953,251.12765051763643,257.7764043283365,268.3689545444599,263.55234753725296,263.54161286080637,258.79819753945543,258.7981987661767,258.79819999466054,258.7982012220243,275.40016053357584,277.7718698838288,277.77187141986184,277.77187295538596,277.77187418809785,280.1435835404602,282.5152928886543,282.515294117167,282.51529534593885,
9,1985-06-29 15:03:43+00:00,,302.51444394207863,323.6317898141001,329.8100062265298,329.86697783256466,333.8549659829173,331.7217093204895,328.6895727165504,321.2769795890637,318.2448429833139,306.4517933331201,300.33054851904797,299.48864017422915,297.3553835142841,289.94279038260555,291.2911103047796,293.08887019225483,290.5061735598649,292.3039334478782,294.10169334345085,296.34889320560615,295.50698486277946,294.665076520129,292.5318198571226,298.7100362725065,296.12733963787036,293.0952030355561,295.3424028974172,297.1401627851002,294.10802618217923,293.7155578085948,288.04375297199493,285.9104963111355,287.70825620210616,284.2266796224562,286.47387948537397,288.72107934785555,292.70906749775065,294.5068273933266,293.66491904651537,291.53166238498454,284.1190692599489,273.61736792356703,268.3950030561999,263.1726381924477,257.95027332399826,254.91813671598362,256.7158966062133,258.51365649741285,265.5907528570391,272.2184092442042,278.8460656291544,280.6438255164868,278.0611288877259,270.6485357578403,267.61639915064336,255.82334950397097,251.89233294983939,254.13953281207753,251.1073962063774,252.90515610014137,254.70291599033501,256.95011585112474,259.19731571848405,251.78472258615602,258.4123789732894,259.76069889097266,266.8377952522724,273.4654516363695,275.2321862275656,276.97539017350164,277.92525942225694,277.82074017305666,273.0284456571438,273.02844688744835,277.77186497280115,277.7718662012248,282.51528398023504,287.25870175920727,287.25870298712243,287.2587042161531,282.51528920001294,282.51529012592766,280.1435835404602,282.5152928886543,282.515294117167,299.11725343025074,
