,bjt6,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91,bjt92
0,-11.791152194415133,6.686525445895882,15.95385006428586,17.751609953266893,10.33901682912284,7.306880221799872,-0.10571290903311592,-7.967746008883125,-15.380339136421128,-22.792932265618106,-35.03542188830613,-43.34689496408214,-45.48015162566111,-48.51228823058716,-55.924881362265126,-58.95701796358412,-62.4385945445141,-64.57185120438413,-63.22353128887312,-61.425771393321156,-64.45790799963515,-76.25095765104913,-83.66355077889415,-86.69568738687616,-89.72782399087714,-87.48062412956511,-85.68286423596811,-83.88510434656314,-86.91724095481311,-89.94937755774114,-92.08263422058613,-90.73431429948513,-93.31701093284713,-96.79858751026214,-95.00082762153212,-87.47429129025414,-88.31619963438015,-89.15810798048415,-91.29136463587312,-89.49360474838812,-101.28665440184213,-109.14868749937614,-107.80036758215815,-110.38306421528515,-98.92551132949512,-102.40708790867913,-105.43922451672913,-107.57248117744513,-105.77472128623413,-108.80685789100414,-102.17920150383813,-100.38144161484414,-102.96413825098014,-110.37673137566614,-113.40886798208612,-116.44100458931112,-114.19380472056912,-110.20581657210613,-106.21782842064013,-104.42006853036514,-102.17286866415614,-99.92566880145714,-98.12790891313213,-101.60948548670214,-99.36228562719114,-97.11508576345912,-90.93686934982912,-83.85977298854112,-79.87178483866415,-75.85741096631813,-73.98070636885313,-72.89686571621615,-72.86697889844515,-63.35239298444412,-68.09580799887613,-77.58263956836413,-72.83922178834513,-77.5826374195621,-77.58263619224914,-77.58263465736513,-77.58263312130015,-77.58263189280314,-77.58263096694014,-82.32604567469815,-79.95433632652913,-68.09579387239211,-63.352375784886135
1,,20.933067066666865,23.18026692741489,20.148130320444864,17.115993719809865,9.703400589002854,-9.55921379545913,-26.631599914709113,-24.833840022872153,-30.056204890299114,-51.95848750492212,-62.010748869912106,,-74.64570686659812,-68.46749045533312,-70.60074711173013,-73.63288372017115,-76.66502032508214,-65.20746744514912,-67.7901640730231,-75.20275720276913,-73.85443728387014,-64.58711266215113,-40.83009855617314,-60.991592882255134,,,,,-20.833186192320113,-19.035426304185137,,,,,,-78.45011453703916,-71.37301818043812,-79.23505127679311,-94.11720913890113,-103.72003053062113,-111.13262365565214,-116.80442849612314,-119.83656510173813,-119.77959349705813,-113.60137708438214,-107.42316067300513,-114.83575380216314,-113.03799391096314,-116.07013051568913,-118.20338717546812,,,,,,,,,,-122.57751085928513,,,,,,,,,142.92217937002385,,186.15457271989686,152.86811908586986,,,,,,,-103.28365326490314,-98.54023517718213,-100.91194237802813,-103.28364957447914,-103.28364803758114,,-46.362647270449145,
2,,24.83313637651281,26.63089626475579,5.627493591476821,-2.2345395051622177,-5.266676112485186,-3.468916223908195,-6.501052827803221,-13.913645955364188,-25.706695608022187,-31.827940418027197,,,,,,,,,-69.1694312316452,-66.92223136949019,-65.1244714780992,-68.60604805496621,-66.35884819454719,-64.1116483300892,-64.95355667550419,,,,,,,,,-83.42490147609519,-81.1777016132402,-69.72014873130121,-73.20172531158221,-84.99477495886418,-83.64645504390819,,,,-85.2163285270012,-88.24846512903221,-91.2806017357332,-89.4828418478312,-91.61609850855021,,,,,,,,,,,-104.30169526707019,-88.0142458890382,-91.04638249121021,-88.79918262850819,-96.2117757595662,-90.03355934126719,-88.23579945423919,-86.4380395629722,-79.36094320446719,-68.3528302921302,-61.72517390804319,-55.493603712095194,-62.8642316589372,-61.78479827582521,-61.757188163242205,-56.986363000222184,-61.72977862850519,-66.47319333944719,-61.72977555942819,-61.7297743320552,-61.7297731047172,-71.21660467312319,-75.96001999569819,-71.2166025225772,-66.4731847380232,-71.21659944578019,,,
3,9.269222078609687,21.176214933746678,13.763621802550688,10.7314851955947,3.318892071435698,4.66721198759268,-7.1258376667123,-10.157974270651323,-17.570567398137314,-28.072268734029308,-42.95442659097631,-50.81645969422635,-58.229052824258304,-56.43129293326433,-54.184093072991345,-59.40645793603835,-65.52770275126034,-77.32075240303635,-80.35288901090433,-80.29591740459131,-71.02859278477234,-64.85037636992433,-63.5020564508423,-79.67556262920635,-82.70769923320734,-85.73983584034733,,,,,,,,-94.15891927607632,-87.53126289137532,-76.07371000906335,-69.44605362309335,-67.64829373496434,-75.06088685878535,-82.47347999071832,-89.88607312072833,-97.74810621828433,,,,,,,,,,,,,,,,,-117.61840970173333,-115.82064981154832,-111.83266165603933,-107.84467350409733,-109.97793016674333,-108.62961024437632,-111.66174685332433,-114.24444348548232,-107.16734712697732,-90.87989774621732,-89.53157783055332,-78.47910049261935,-76.56007453376532,-80.03489732053833,-79.98741388052031,-80.04935037109033,-80.04934944774635,-75.30593136235035,-80.04934699254034,-80.04934545822931,-80.04934392393534,-80.04934269601733,-84.79275801860231,-89.53617334176931,-84.79275525036633,-80.04933777567635,,,
4,,-4.04636704973484,8.310065775393184,19.31817868377516,16.735482055581144,9.322888924779136,1.460855821480152,-8.591405540103835,-18.643666901866823,-23.866031769302822,-38.748189626249825,-50.99067925298084,-54.02281585953182,-56.60551249197886,-54.35831263174583,-60.03011746724786,-60.42258584149886,-65.64495070812382,-71.31675555023781,-69.06955568220184,-72.10169228851686,-74.23494894805185,-84.73665028259484,-89.95901515233084,-87.71181528787284,-93.38362012923483,,,,,,,,,-107.02506843387883,-100.39741204750285,-98.59965215747383,-96.80189226936585,-95.00413237374985,-98.03626898231485,,,-110.16481540273085,-108.81649548478484,-107.46817556335984,-105.22097570164584,-107.80367233715884,-115.21626546633385,,,-110.27242576519785,-103.64476938029685,-108.41769427813583,-114.08949911356984,-116.22275577503785,,-122.28702898190883,-115.20993262678385,-111.22194447529085,-107.23395632333083,-109.36721298061283,-103.18899656688885,-105.77169320201685,-104.42337327964984,-107.45550988859785,-110.03820652075584,-94.20019711522485,-86.67366078149084,-90.15523736177184,-88.33456664682384,-81.66465215542985,-75.82866035581185,-75.90900981185285,-78.21482183565786,-75.84311248301987,-71.09969439762386,-71.09969316923082,-75.84310880045086,-71.09969071453082,-71.09968917964386,-75.84310419519585,-80.58651951835185,-80.58651828563984,-80.58651705560484,,,
5,,-4.613969457085432,16.50337641493155,18.30113630390855,8.698314918035578,7.85640657245159,-2.6452947650714123,-10.057887892400458,-8.70956797313346,-25.33251412163645,-32.745107248447425,-35.777243855751465,,-55.43232661012445,-53.63456672233144,-56.66670332362344,-64.07929645559744,-66.66199308798946,-64.86423319996044,-63.51591327692745,-65.64916993819742,-61.66118178506446,-61.604210182749455,-64.63634679073147,-72.04893991817843,-79.91097302126045,-82.94310962357343,-81.14534973417145,-83.72804636996543,-81.93028647695044,-75.30263009286244,-73.05543022677145,-66.87721381323041,-69.45991044572744,-72.49204705290043,-70.24484719003843,-68.44708729997743,-71.47922390776745,-76.70158876986443,-81.92395364009343,-79.67675377820044,-87.08934690323144,-85.74102698601345,-88.32372361914045,-82.14550720178045,-93.93855685545344,-96.97069346341044,-95.17293357319144,-93.82461365448944,-93.76764205253443,-91.96988216130944,-90.17212227231343,-94.49560719775243,-93.14728727546245,-91.34952738594143,-98.76212051658345,-101.79425711629244,-95.61604070611745,-97.74929736730942,-91.12164098120144,-89.32388108743845,-92.80545766562244,-94.93871432826845,-97.97085092935944,-96.62253101484944,-99.20522764700743,-87.74767476498943,-85.50047489962745,-79.32225848802344,-77.50158777307544,-70.54299494548943,-69.77383392096243,-64.94819804204542,-65.01013514650845,-69.75354985399443,-69.75354893420544,-69.75354739876443,-65.01012931280644,-65.01012808546045,-65.01012685754245,-62.63841750615342,-60.26670815534942,-60.266706922428455,-55.523288833897425,-55.52328730107945,-55.523286379534454,-41.29303518874144
6,,21.376176861327224,16.15381199189119,15.761343619139211,5.7090822608032,7.956282121875233,4.924145514515203,-9.95801234300177,-24.840170200725765,-37.08265982582378,-44.49525295260577,-43.146933036464816,-50.55952616649677,-48.761766275502794,-50.89502293871078,-56.56682777421281,-61.33975267189578,-59.991432753374795,-60.38390112705781,-69.98672251259279,-63.359066127010806,-51.90151324373079,-47.913525090443784,-50.945661698454785,-60.9979230601088,-68.85995616319678,-76.72198926138378,-83.23570244648778,-79.24771429706178,-69.98038967390778,-81.7734393286178,-87.89468413766778,-86.0969242475598,-82.1089360948308,-79.86173623361378,-75.4243081089918,-71.4363199572058,-77.9500331434358,-81.88104968883778,-84.01430635233478,-87.04644295891379,-94.4590360839448,-97.4911726902468,-100.97274926831179,-93.89565290595078,-96.92778951267479,-99.9599261206848,-102.5426227539048,-96.3644063392558,-98.4976629990438,-104.16946783796178,-100.1814796872618,-97.9342798274198,-96.1365199327108,-94.33876004318878,-96.92145667792778,-83.27367552802278,-87.59716045403479,-95.4591935561258,-94.11087363842478,-87.03377727627978,-94.89581037791078,-97.9279469855438,-100.96008358661479,-99.16232369961179,-101.7450203317828,-95.11736394570278,-92.8701640803408,-86.69194766873679,-84.8712769537888,-83.00110892368579,-76.9672221469728,-77.0740181013598,-74.7515321426228,-74.7515309123458,-77.12323811491879,-72.37982002783679,-72.37981910741581,-67.63640102149577,-62.89298324193379,-67.63639856454978,-62.89298047737179,-62.89297924460777,-62.89297832160781,-67.6363930334378,-65.2646836825918,-62.89297433144981
7,,-12.807280096642785,8.310065775378177,5.72736914090018,7.075689063708182,8.873448952319166,5.841312344933215,-1.5712807823958315,-4.603417386568822,-16.845907011631823,-24.2585001384428,-36.05154979270981,-34.70322987577879,-37.28592650822583,-31.55715006942779,-38.07086324930481,-42.00187980278082,-48.51559298608481,-52.446609538953794,-64.2396591862998,-66.82235582009181,-65.4740359011638,-67.6072925605718,-70.6394291685778,-75.8617940342888,-80.63471893064482,-74.45650251356881,-72.65874262416682,-75.2414392599608,-73.44367936694582,-66.81602298285782,-69.84815958523382,-68.0503996951048,-60.97330333572282,-64.4548799153828,-56.92834358410482,-50.30068719809981,-53.78226377838479,-55.91552043378579,-58.9476570422388,-66.36025017224881,-78.60273979322682,-77.25441987600882,-75.4566599856978,-73.65890009177582,-81.52093319440081,-74.4438368380718,-72.1966369753508,-70.84831705664382,-69.05055716544382,-67.25279727421281,-60.625140889315816,-68.03773402133982,-71.06987062258582,-78.4824637524708,-81.0651603872098,-84.09729698685581,-87.12943359611282,-77.8621089762068,-73.87412082421582,-71.62692095800682,-69.37972109530781,-67.58196120698281,-71.06353778055282,-68.81633792104182,-71.8484745257098,-70.0507146355408,-63.423058246756824,-70.83565137801881,-69.01498066307082,-62.34506617167682,-51.90722288786384,-47.077162070896804,-44.66498650392583,-47.03669308908479,-47.03669216923282,-42.29327408219581,-39.921564732475815,-37.54985538280681,-42.2932700925968,-37.5498526188598,-32.80643483870881,-32.80643329899084,-23.31959927262983,-23.319598046776832,-23.319596818266803,-28.063011834102838
8,,,11.040553740295138,12.838313629272136,7.6159487668801376,2.3935838978151764,1.5516755521751406,-3.2212493409918466,-8.893054179314845,-23.325772066130867,-33.37803342713784,-41.24006653038788,-43.37332319198583,-46.854899769425856,-44.60769990915287,-49.830064772199876,-55.05242964238687,-60.27479450901183,-60.667262882715875,-56.67927472542584,-56.62230312498485,-59.654439729540854,-57.856679837982824,-46.39912695814087,-49.43126356213986,-54.65362843100087,-55.49553677155683,-57.62879343317786,-60.66093004143187,-63.69306664435487,-66.27576327967284,-64.47800338607783,-58.29978697251482,-51.67213058558383,-49.424930724362866,-52.00762735743888,-50.20986746738083,-57.62246059860388,-60.65459719900883,-68.06719033092986,-75.92922343344685,-83.34181655849486,-86.82339313713086,-79.74629677844385,-78.39797685701686,-85.81056998717085,-78.73347363081885,-81.76561023654386,-79.51841037283185,-73.34019395820386,-75.92289059045186,-74.12513070143586,-71.87793084166486,-65.25027445098584,-68.28241105740483,-75.69500418804085,-83.10759731125984,-86.13973392044184,-84.34197403066685,-87.82355060885686,-89.95680726613884,-88.60848734837384,-86.81072746008084,-89.84286406113685,-91.97612072505885,-87.98813257208985,-84.00014442018184,-77.37248803139786,-79.50574469422284,-78.14350330572685,-71.49474949502684,-60.902199278902856,-65.71880628610984,-65.72954096255683,-70.47295628390788,-70.47295505718586,-70.47295382870186,-70.47295260133887,-53.87099328978684,-51.499283939533825,-51.49928240350084,-51.499280867976836,-51.49927963526483,-49.127570282902866,-46.755860934708835,-46.75585970619585,-46.75585847742383
9,,-21.886810325433032,-0.7694644534120698,5.408751959017934,5.46572356505294,9.45371171540495,7.320455052976968,4.288318449037945,-3.124274678448046,-6.156411284198043,-17.94946093439205,-24.070705748464036,-24.912614093283082,-27.045870753228087,-34.45846388490605,-33.11014396273208,-31.312384075257057,-33.89508070764708,-32.097320819634035,-30.29956092406104,-28.052361061906083,-28.894269404733052,-29.736177747383067,-31.869434410389033,-25.69121799500607,-28.273914629642036,-31.306051231956076,-29.058851370095056,-27.26109148241204,-30.293228085333055,-30.68569645891705,-36.35750129551707,-38.49075795637708,-36.69299806540607,-40.174574645056055,-37.92737478213803,-35.680174919656054,-31.692186769761065,-29.894426874185058,-30.736335220997034,-32.86959188252706,-40.282185007563044,-50.783886343945085,-56.006251211312076,-61.22861607506405,-66.45098094351408,-69.48311755152807,-67.68535766129907,-65.88759777009903,-58.81050141047308,-52.18284502330806,-45.55518863835806,-43.75742875102503,-46.34012537978606,-53.752718509672036,-56.78485511686904,-68.57790476354106,-72.50892131767307,-70.26172145543407,-73.29385806113507,-71.49609816737106,-69.69833827717707,-67.45113841638704,-65.20393854902807,-72.61653168135607,-65.98887529422308,-64.64055537653906,-57.563459015240085,-50.935802631143076,-49.16906803994607,-47.42586409401008,-46.47599484525506,-46.580514094455054,-51.372808610368054,-51.372807380064046,-46.629389294711075,-46.62938806628705,-41.885970287277075,-37.14255250830507,-37.14255128039008,-37.14255005135908,-41.88596506749906,-41.885964141584054,-44.25767072705207,-41.88596137885804,-41.885960150345056,-25.284000837261033
