,stationarity,autocorr_min,lag_min,entropy,linear_trend_slopes,linear_trend_intercepts,linear_trend_rvalues,linear_trend_pvalues,linear_trend_stderr,linear_trend_intercept_stderr
bjt7,0.0,-0.3656720711789123,636.0,0.2820819451497416,3.600329420926945,330.92539890454077,0.9166934429032849,0.0,0.04997992254785115,1.1134089745520432
bjt8,0.0,-0.371226231252877,638.0,0.28298906150179093,3.5540146315237373,328.88427459021034,0.9181177329551723,0.0,0.04885566596677728,1.088363770332921
bjt9,0.0,-0.37524922599031507,639.0,0.2923745623078682,3.4166302030819256,327.89345071964,0.9201571182862881,0.0,0.04630032218009196,1.0314380577642934
bjt10,0.0,-0.38650207651943647,638.0,0.3222350675207142,3.3617409977748354,324.9363832597111,0.9262201604594908,0.0,0.0435745969292875,0.9707167360474938
bjt11,0.0,-0.3807428232305716,622.0,0.3739102068182609,3.3199416491876073,322.29107871289244,0.9112466916043221,0.0,0.04778666004539538,1.0645493919577576
bjt12,0.0,-0.3515943556783516,622.0,0.3315608686924483,3.219300788319619,322.6518364637369,0.8696263031515218,1.6951129638376185e-304,0.05820533943131523,1.2966476134017257
bjt13,0.0,-0.34073173199277995,615.0,0.30303905939016884,3.15596099504365,322.39070430556905,0.8371565350412433,1.2844884846759447e-260,0.06566663259715914,1.4628637727937457
bjt14,0.0,-0.3570289117965601,631.0,0.3519476050443988,3.256556414529798,318.993644450429,0.8498790846189707,1.4539407476276285e-276,0.0643065602898054,1.432565272198881
bjt15,0.0,-0.3739472964576903,631.0,0.38027053634566976,3.3850997633045954,314.8369720946573,0.8723184233087974,1.170837611385553e-308,0.06042434397186243,1.346080654592447
bjt16,0.0,-0.3840542636745071,631.0,0.3857716772226789,3.53868829168886,311.35423124421254,0.9039900077721555,0.0,0.05330043719364945,1.1873804938801034
bjt17,0.0,-0.38541492207303707,628.0,0.3506624459321086,3.64523517347228,308.19408988550674,0.9249820841634044,0.0,0.04769244821272329,1.0624506231990491
bjt18,0.0,-0.38080174987950527,628.0,0.3098177876619085,3.741241433317748,304.9912467581308,0.9327289175457397,0.0,0.0460597436730354,1.0260786603265593
bjt19,0.0,-0.37513715350384635,627.0,0.3047704049120121,3.7657991072788795,302.40156376231863,0.9337102925765911,0.0,0.04598596453195781,1.0244350731895069
bjt20,0.0,-0.36926613276466896,713.0,0.27384542518144295,3.7274417210296313,300.1689276414189,0.925969418376295,0.0,0.04840676221885355,1.0783634854951483
bjt21,0.0,-0.3639381238969557,713.0,0.24648847725137513,3.6889133004236334,297.7348352183393,0.9142580226903378,0.0,0.0520580859410717,1.1597044799198635
bjt22,0.0,-0.3642617080929576,713.0,0.2799846921942535,3.6487678852865835,295.0311892326265,0.9165693365985299,0.0,0.0506952853026851,1.1293451999539499
bjt23,0.0,-0.3716533287586767,716.0,0.31952474627603,3.674115823986642,291.24024799325576,0.9317806743895559,0.0,0.04558619104945671,1.0155292694084286
bjt24,0.0,-0.38184377395399993,606.0,0.3526327224787076,3.746664395744658,287.1949896037584,0.9316890306786124,0.0,0.04652101528291475,1.0363544655692352
bjt25,0.0,-0.38765549546584244,603.0,0.3226095080491641,3.8771520099597896,282.94041492536707,0.9310122752363519,0.0,0.048405798904267536,1.0783420256158467
bjt26,0.0,-0.393810408471365,600.0,0.3096295528047658,4.013940541685241,278.8610081456551,0.9356329151791347,0.0,0.04822479668680521,1.0743098166194556
bjt27,0.0,-0.39678744899324614,597.0,0.3198257426307691,4.131099318829395,275.0967975858579,0.9372994460377811,0.0,0.04891959856465525,1.0897880047977824
bjt28,0.0,-0.4017280346586879,593.0,0.28589096521855084,4.1989308283199644,272.285874047547,0.9391012550879126,0.0,0.04893191995843732,1.090062490025382
bjt29,0.0,-0.40096733562434234,597.0,0.286431503405848,4.195291209393315,270.90048054982134,0.9396177804780207,0.0,0.04866144967775295,1.0840371898145769
bjt30,0.0,-0.3867685098308139,638.0,0.265477313493225,4.050408318028222,273.10292647140193,0.9276530103242888,0.0,0.051927743809725486,1.1568008319867524
bjt31,0.0,-0.3791884006809065,593.0,0.248030425436647,3.896883237334944,275.0461596990866,0.9160490657246981,0.0,0.05433457564284291,1.2104181252241486
bjt32,0.0,-0.3816172645003771,590.0,0.23772079964770376,3.7629663665930173,276.1947439650809,0.9090623176159754,0.0,0.05492628383918885,1.2235996825884448
bjt33,0.0,-0.3796778284521201,578.0,0.24356786361362381,3.6088636801387404,277.77740757780805,0.903091452617491,0.0,0.054652641754190864,1.2175037236969481
bjt34,0.0,-0.3745473737169937,578.0,0.3080821367328873,3.4615220307210017,279.39278027737805,0.896872228752487,0.0,0.054363188530876856,1.2110555381031773
bjt35,0.0,-0.35406045112596235,578.0,0.2691613072541983,3.3470987467844417,280.98261793540735,0.8656948975663346,1.3848921030487332e-298,0.061635621290031285,1.373064430636304
bjt36,0.0,-0.35464088205175875,576.0,0.2840613748460723,3.27652768401007,281.0859648259718,0.8538712022344022,7.100895340927216e-282,0.06360491876621865,1.416934716378553
bjt37,0.0,-0.36318220672548057,578.0,0.3381106103561431,3.2576653883980233,280.0754026296354,0.848371430991305,1.343644238485002e-274,0.06473916935456529,1.4422025583454348
bjt38,0.0,-0.3618764025084175,576.0,0.3363820524834986,3.2591589467661293,278.3205855538065,0.8382607018491806,6.026936141829411e-262,0.0675148497770804,1.504036737659296
bjt39,0.0,-0.3673095022506062,576.0,0.3469285545594929,3.291960664510106,274.7744238840718,0.831340258064605,8.844843251929691e-254,0.07008540782127476,1.5613013801419402
bjt40,1.0,-0.35541403617065964,576.0,0.30443534032605535,3.3289291833257115,271.0839152380915,0.8061599614103099,6.147308916394046e-227,0.07781166768727009,1.733420235794115
bjt41,1.0,-0.3454501742423953,573.0,0.23818540550745582,3.3387966380413903,268.36330973224767,0.7721710014133422,2.144825544456688e-196,0.08749743780607716,1.949191345991473
bjt42,1.0,-0.33019156982135467,573.0,0.21014714862941775,3.3234607554405438,266.32895357685686,0.7393680272295757,1.4135781692169013e-171,0.09638312830438828,2.1471389825937384
bjt43,1.0,-0.3268190920335894,573.0,0.20352460369606162,3.2959936448093647,264.80152523530484,0.7349054977465147,1.7291108366414008e-168,0.09686227922619624,2.1578130875004655
bjt44,1.0,-0.32010547654621097,570.0,0.18349450861912897,3.2540756469918946,263.47188032034836,0.7263898455214516,9.098579338824069e-163,0.09805166323018061,2.184309143450872
bjt45,0.0,-0.3176848722480617,573.0,0.18120583254673428,3.1260460050835577,265.0333769293331,0.7227766427894644,2.0963880852370426e-160,0.09518799847208026,2.120514926108404
