dates,transect_id,cross_distance,shore_x,shore_y
12/4/2000 0:00,582,135.73,-70.0421722,42.02590893
2/16/2001 0:00,582,125.94,-70.04226884,42.02585802
3/7/2001 0:00,582,125.09,-70.04227719,42.02585362
8/14/2000 0:00,582,125.36,-70.04227452,42.02585503
2/1/2001 0:00,582,130.67,-70.04222212,42.02588263
5/23/2003 0:00,582,124.39,-70.0422841,42.02584998
1/13/2004 0:00,582,127.62,-70.04225218,42.0258668
9/3/2004 0:00,582,128.5,-70.04224357,42.02587133
2/16/2005 0:00,582,131.34,-70.0422155,42.02588612
1/25/2002 0:00,582,132.13,-70.0422077,42.02589023
3/16/2001 0:00,582,125.59,-70.04227227,42.02585622
9/11/2002 0:00,582,134.1,-70.04218831,42.02590044
12/21/2001 0:00,582,123.81,-70.04228978,42.02584699
2/20/2002 0:00,582,129.63,-70.04223238,42.02587722
2/11/2000 0:00,582,130.94,-70.04221943,42.02588405
1/8/2002 0:00,582,128.48,-70.04224374,42.02587124
8/29/2003 0:00,582,119.33,-70.04233403,42.02582368
1/17/2001 0:00,582,133.85,-70.04219078,42.02589914
1/4/2001 0:00,582,138.6,-70.04214389,42.02592385
6/17/1999 0:00,583,131.74,-70.04186538,42.02551609
8/26/1999 0:00,583,138.95,-70.04179386,42.02555315
9/7/1999 0:00,583,134.94,-70.04183369,42.02553251
9/16/1999 0:00,583,137.36,-70.04180969,42.02554495
9/17/1999 0:00,583,135.96,-70.04182351,42.02553779
8/13/1999 0:00,583,138.73,-70.0417961,42.02555199
9/30/1999 0:00,583,132.83,-70.04185464,42.02552166
4/8/1999 0:00,583,128.8,-70.04189457,42.02550096
4/26/1999 0:00,583,129.84,-70.04188423,42.02550632
5/10/1999 0:00,583,130.29,-70.04187983,42.0255086
5/24/1999 0:00,583,131.88,-70.041864,42.02551681
1/25/1999 0:00,583,131.27,-70.04187006,42.02551366
7/15/1999 0:00,583,134.63,-70.04183672,42.02553094
12/14/1999 0:00,583,131.43,-70.0418685,42.02551447
1/12/1999 0:00,583,132.52,-70.04185767,42.02552008
2/10/1999 0:00,583,132.18,-70.04186107,42.02551832
11/13/1998 0:00,583,132.3,-70.04185982,42.02551897
10/15/1998 0:00,583,131.94,-70.04186339,42.02551712
10/30/1998 0:00,583,128.88,-70.0418938,42.02550136
12/2/1998 0:00,583,131.72,-70.04186556,42.025516
5/17/1998 0:00,583,128.29,-70.04189958,42.02549837
5/18/1998 0:00,583,127.27,-70.04190974,42.0254931
5/16/1998 0:00,583,128.18,-70.04190069,42.02549779
5/15/1998 0:00,583,127.74,-70.04190504,42.02549554
5/14/1998 0:00,583,124.59,-70.04193632,42.02547933
