dates,pxy100,pxy101,pxy102,pxy103,pxy104,pxy105,pxy106,pxy107,pxy108,pxy109,pxy110,pxy111,pxy112,pxy113,pxy114,pxy115,pxy116,pxy117,pxy118,pxy119,pxy120,pxy121,pxy122,pxy123,pxy124,pxy125,pxy126,pxy127,pxy128,pxy129,pxy130,pxy131,pxy132,pxy133,pxy134,pxy135,pxy136,pxy137,pxy138,pxy139,pxy140,pxy141,pxy142,pxy143,pxy144,pxy145,pxy146,pxy147,pxy148,pxy149,pxy150,pxy151,pxy152,pxy153,pxy154,pxy155,pxy156,pxy157,pxy158,pxy159,pxy160,pxy161,pxy162,pxy163,pxy164,pxy165,pxy166,pxy167,pxy168,pxy169,pxy170,pxy171,pxy172,pxy173,pxy174,pxy175,pxy176,pxy177,pxy178,pxy179,pxy180,pxy181,pxy182,pxy183,pxy184,pxy185,pxy186,pxy187,pxy188,pxy189,pxy190,pxy191,pxy192,pxy193,pxy194,pxy195,pxy196,pxy197,pxy198,pxy199,pxy200,pxy201,pxy202,pxy203,pxy204,pxy205,pxy206,pxy207,pxy208,pxy209,pxy210,pxy211,pxy212,pxy213,pxy214,pxy215,pxy216,pxy217,pxy218,pxy219,pxy220,pxy221,pxy222,pxy223,pxy224,pxy225,pxy226,pxy227,pxy228,pxy229,pxy230,pxy231,pxy232,pxy233,pxy234,pxy235,pxy236,pxy237,pxy238,pxy239,pxy240,pxy241,pxy242,pxy243,pxy244,pxy75,pxy76,pxy77,pxy78,pxy79,pxy80,pxy81,pxy82,pxy83,pxy84,pxy85,pxy86,pxy87,pxy88,pxy89,pxy90,pxy91,pxy92,pxy93,pxy94,pxy95,pxy96,pxy97,pxy98,pxy99
1984-04-28 18:34:44+00:00,149.97931900402662,153.30873395969158,150.7668260747277,154.2445040607263,146.54650897820255,145.6891613200052,142.2415988756603,141.5448911783746,140.79283305286538,140.88101952725037,142.5938986424898,142.12167997241403,142.77607677047646,144.91064015548187,137.57490898656707,136.9269597161637,132.17500467369317,131.25841591091523,126.89371626226936,121.44234148369335,120.86162250415666,118.53218834461268,112.49071528328126,107.39848025029002,109.92511096552936,108.8941230550243,105.10418839188912,105.6242158253318,103.1001394957217,98.84158515446823,90.59790023713916,97.82602649979351,93.32960644345911,92.73538947668196,119.0766357307234,160.62381083104853,160.62804540456816,164.41317472595054,169.79281317755004,169.7970474276923,133.71897201323955,138.64780089952188,147.85356603543784,147.84749556541777,146.70228167535402,169.73091588551645,179.05204994665618,178.41246905061433,163.67105965772834,155.38359326220854,155.263087476145,144.08441539443766,114.71456521945076,135.5473725817874,139.15153999772656,135.55997373873055,130.7787265743111,128.67661896718587,118.6605650541876,77.70864885859446,56.95618934988784,47.73177733954626,45.64690573696602,39.85847336336099,42.69521070406027,37.95588251976082,45.50201496417132,49.15805141802024,55.74167495034246,58.06770137523546,64.14002424704711,63.30674316269403,64.54773811626615,64.40322179638602,65.2256386235363,65.73545588575222,65.8022272536913,67.2929162211915,75.4306710414524,83.20814964787786,87.8887343048845,99.02907390618051,120.48278082636612,128.73063831093364,123.011429586433,131.73819811763886,148.90910670121318,152.8919959455859,156.0154808613739,162.0061637142374,153.67288058843675,163.993856145184,173.87087629819789,180.75525478603996,188.8976259330801,196.8170005133984,204.29570694532703,209.6658938645046,206.77402700649472,208.1728879273452,195.3757306282533,189.66683281089303,183.75046709199853,174.15325970135297,169.45651008211732,180.349708065026,,,,195.09413342165672,185.51361522156503,181.8140987328013,174.3833981557235,175.12396716020385,181.0673386099226,183.3423553627706,177.78579628229886,171.6168189307672,162.96281896272797,162.96504349863972,176.40281096528562,182.54217619565588,183.89064929359316,186.78340029664392,192.58517514205263,203.83306727810725,206.72486415331824,204.6936101147436,204.14845474786088,207.51499143099392,208.18969848261597,215.15120212008196,218.0284859971557,220.034928867638,223.7815329810273,229.74735279724487,237.83950565159023,231.86471310467945,226.69544471579508,212.9226794164832,228.46461452274545,,,,,184.81185148470607,185.17735864677053,179.26767425770785,165.51260608696933,171.08378211971404,164.872788068085,163.6017556286396,155.22282508558962,155.22735061326838,147.84905080498163,138.8090127798899,132.96970907136395,145.03925207843383,146.53990415487905,143.6614683565856,138.27504264303835,137.27547587526712,135.31550407675928,140.1434196401804,139.4633216818958,142.47714801220928,149.44643785126803,152.56149061650615,149.27168592040613,148.74481420407153
1984-05-30 18:35:37+00:00,145.9010173570634,147.80488589473995,146.44374123397884,148.4737860969549,143.24445625651154,142.7704314040331,140.6659796552133,141.18243465127568,139.78949356402467,137.6437582872918,136.36419615059398,134.75255338140252,138.39725210556423,141.1483719725919,135.00264524854526,129.97592175955037,122.44158886114668,122.03784373716243,115.21870401493132,100.23092022898813,95.92790581029702,94.27419017446395,94.06884630498126,90.96623133303645,89.38591559700124,84.18038821034257,81.54287326081138,85.09339558186318,86.32601871327499,86.20606068310164,76.8280543118614,85.56056317387043,83.90251958073368,80.3815058704205,108.97476111276728,158.05287636137547,159.32498781501482,161.95889398491235,165.4162950425977,165.420434558781,137.36113757447896,146.73664741704718,171.5648606454178,162.4408239119743,162.61381883540238,177.9702563194862,188.64923309479792,188.6531660519192,186.09100051059687,191.24320121221817,191.30264841640616,167.52094917014878,107.26153734987756,126.52370689540646,136.62540685671323,872.4112991803404,883.9474308297283,884.3331898114646,150.39683216970542,123.96544256276664,895.3537660381426,902.637421229209,980.7169418125573,980.7153413468172,976.8530290363184,38.03967619839827,47.989695371666095,54.973578024166684,61.52293623558695,67.81163949774904,74.45534994911159,71.8423512642724,73.57510482818134,78.38948369406242,82.99725664715382,84.9005057432623,84.681962552684,84.30600541843283,88.77312329232822,91.6258928965095,96.60247027023796,122.65370996446738,144.47412182744006,160.42372279482967,159.1771719232131,160.83124756601066,177.5290560073015,177.0618495554761,174.47340379300323,179.9902240476762,174.8637295677325,178.7927909799392,188.3022128970613,190.12118342959744,197.5848635519235,206.99056091527373,211.39665322173576,212.99418119397,213.34749448932752,213.9562838739556,209.7914401517615,204.9051533292581,202.747168561784,202.4892585444216,,,,,,,,,192.5151651244132,189.17749108954484,188.52700066620807,189.63716067443195,187.4323259613761,179.4840648417019,171.12384376316768,173.57935693008204,193.93907391940093,204.4195594512713,202.58734088061823,199.5629817774349,205.89929827209195,208.17929590353728,215.1008824619672,216.95228693770088,214.0985195378597,214.96283274481263,213.10196774890665,209.0445091608576,209.6997637357475,221.41071584827125,,,,,,,,,,,,211.8330558201884,215.259683612714,211.75089500573887,191.70797441411648,176.69866915379612,153.74001406478394,152.62084877281313,142.899580416645,141.37652041181718,137.47146655683505,,73.91227931360112,,,136.15627945226376,138.45887560573823,138.457585991836,136.99106692153822,139.15905116650825,138.07526761268252,140.73057934892108,145.01454522819358,145.81651275382424,145.65935585995803,146.6182817898366
1984-07-10 18:30:25+00:00,157.13660189510034,159.0046559214909,158.9629553368249,158.9618700647334,154.65599162556398,156.2697392117566,152.72762830603193,152.7269140080066,152.7993704377949,151.75616353772747,151.65029176641315,151.03170989172423,146.51598845112622,142.1988560564425,133.88534574187616,131.7953616482209,124.5035595029672,122.52245170348388,114.03201982802454,112.2909282630521,112.08938371096468,108.59186859556392,106.05702113762544,103.9880750218222,102.96395840113756,101.2301627048119,93.89418979323256,92.84929980796495,91.8415421573478,94.17214346449198,87.30366430015985,93.93034973533412,87.24474039222355,95.17838882371896,113.77205151427307,150.72572167143963,150.78027586082584,156.69486938612084,159.72486868166538,168.21618630430095,124.47775502257797,127.70682053654492,129.75632195559322,122.39785501847275,-101.29074688581144,87.35400788625469,132.46944250121842,132.7827865963624,133.57532561255388,135.48166425416971,127.90470220742463,102.68338798264942,76.63535375051686,96.06869315364963,98.15306079166088,98.49037136213047,102.67862535946789,103.88988853530272,107.93312617513394,77.72219946590121,60.64018285130787,41.1172589284739,34.051903635704576,28.92579386357762,31.663338177047088,23.21792881909129,26.71817348702961,29.606370415761084,38.49627034683334,43.15597229858527,52.81731184150014,60.047992359349735,64.71369246138067,64.71714533397939,64.91929037828665,64.99563152260271,64.83628224923014,64.59690366513821,72.386624332662,76.78015147569273,83.48765755262784,91.2013600647082,114.14671502646142,120.85759538680898,117.04279296032873,123.095667413681,132.85395814155711,133.0081989924047,,155.02597919329793,150.11630660339546,152.96731747967706,165.54712758110313,170.71102823263718,172.1121518822194,178.0674990174159,186.7030247618836,195.7604477244753,191.59066891161203,192.1887501166164,187.91855820785332,182.8738490361285,,,119.89690612760069,,,,,,,172.30441373707296,173.11454785859297,172.92546187467116,174.67553707944822,178.14666025539233,174.59459365188903,171.4477383310873,163.1438792065321,163.94275541845914,178.61813322375443,184.1774231869388,183.4234832975884,188.00746696691792,195.0849095591512,204.7918567129952,210.2157582850667,213.58430761475185,213.2379524805024,214.8598915726964,217.88244264804268,221.6064590844932,227.84127592509157,229.2735881837536,226.8774622311901,232.6729072691589,241.8955358973405,233.6105399500611,226.49105201884177,208.9566988128009,221.60664448282125,,,,,197.37275253209592,189.8137609021676,184.08670261585047,170.12377495083985,175.30460431446636,166.4807738211441,165.6819679119245,154.93451749657677,153.64257724490488,148.7684206914025,148.12032160547784,141.65050575849224,141.2632692860585,146.24332983126845,150.54064042454303,148.79528663975884,152.4884230588627,152.2458638543511,154.66676507628893,156.83042807685865,159.17430059806034,159.60342681632116,157.9981102088633,158.6025731038619,158.34822281773015
1984-07-17 18:36:24+00:00,125.31689233111236,126.18360675558878,123.2077350943034,124.49854385004376,119.92059007302636,119.91913936423508,118.23749208017566,121.38333957969088,124.00696859755811,122.48250710993804,124.645987075547,125.26610151898748,127.42778369446586,130.02501167908653,121.3732193743256,119.80647582464216,112.14766427252252,110.6962781992839,102.69349232636594,98.44163978951651,98.2982896548874,97.14184225378833,94.8817573316434,86.75036168019031,85.29593169158237,79.85178487660991,70.1380462470965,67.94407695342602,67.88619801929761,68.17753654023262,61.49152476604718,68.34840390190584,68.68410924215776,68.91429880627628,94.04587363731392,139.11050788336365,140.310122966913,146.32357966873693,149.3537248578681,149.35718952823726,112.5537752829288,154.14290352890075,167.87369787511,177.10371334552875,170.41546745321503,178.71920014902486,185.39280159323235,184.39445086916015,178.9920495433252,184.5325729865688,177.06674131008737,161.84988600117043,148.63199351777303,148.63640036340115,152.18895813195536,157.8675409107403,162.88059395181097,147.3987322940407,134.16247238433886,129.68735183679925,95.21909391111424,76.58860578801969,63.08072942582663,39.14780495265963,36.82291304834778,30.342953060166025,37.3890061275925,47.50568168470196,51.47098770069631,50.5066500244861,57.81918339657806,60.61432196232132,63.63526297883829,67.14595526138763,68.06662002979252,72.28099247449316,68.89020043635826,67.59604243065377,73.16851407844072,74.89265819203516,83.07069590059572,,,155.23496281061196,146.57493625224365,153.04194359806075,167.86990083014152,169.21254515618327,165.67803070846398,169.0327950389625,162.69567107475686,169.42427385843283,176.24859315794495,176.72657235523155,182.3844361641936,195.1024371826313,201.5547561553037,209.5703317457258,206.2229689708505,204.1197101102381,198.27564456773183,195.73311871426367,193.7367237825514,188.79205815552496,,,,,,,,,176.46838994500507,168.78824993880858,167.10040529305405,170.32582504910414,168.08770810223282,160.22703738300245,151.04688489183212,153.3090657153905,169.88550106319963,189.552231910578,194.8670409261139,190.6365577243082,187.3994455048941,207.14638446947464,208.57317430532964,210.12285563912013,208.34243053560328,209.16496272782868,216.3670770863297,220.05653229544689,223.70928057251632,222.1125005645337,227.1634542924228,228.8427679432382,234.50741106951696,228.44971261394952,219.11443356895848,206.0874444701853,219.37882611115884,,,,,215.3440399927653,215.6243225177689,204.59284597424136,190.5242257169932,174.8811398597091,167.40896233397254,156.7060182061348,143.0686096913159,137.59835935620495,129.94946806975582,123.33514573827372,129.80558146718477,140.35038320590755,142.54568750412136,143.59579879705615,130.9581729739151,130.9559114436754,133.70107725650985,137.75688910993784,137.58929027589426,137.86137076589597,139.4735802225121,138.60230363723582,135.48500836775315,130.39752453751538
1984-09-19 18:37:43+00:00,145.4482776147667,145.8895936781732,139.7927023611471,140.56041194751097,140.7057492503186,142.79388302176474,139.03196433148707,138.592686237774,128.19550635920976,126.2925749772486,124.53720416000678,126.79584116153885,129.17631912243786,130.76718528959407,124.97950938880464,124.9731477801579,115.41421185509954,114.83244827323944,115.24025650235342,107.01277857098782,103.02237652277203,101.00828552735798,99.44173924593916,96.16114603509274,96.33167817138477,95.25537006240886,89.50878022496144,89.88652068840489,91.37533768122329,91.84061623822788,83.75996455861466,92.73095422336314,91.3408623498788,89.38799544064157,107.90830375344632,150.468944144492,152.61495475349057,157.06093220180327,160.9700600494476,160.97384425811651,129.37187490140929,128.95029524717873,125.5991188840043,116.53153471397567,105.67907184081932,105.6767754566722,101.32219891776832,112.91591144222446,120.7418250391094,133.69695588212613,105.5768858202158,73.44731854624433,84.02505575312392,101.5499496041774,104.68467735897268,102.64108356091582,98.74732660564754,74.73031653172986,61.98135260914454,40.3867654479034,32.2586134748543,27.64840767328359,24.79624161149403,19.032781400314025,21.673553996118525,15.274810762813496,22.359705830742623,30.90829004669272,39.70780265334882,43.1514512729686,49.57803050580073,50.95309003992202,53.21933850027749,53.40836124435949,57.46629304278231,58.00304605339418,58.75860746452535,60.42582819641892,72.15135250910032,75.68346205658648,83.70630009989543,95.052714784881,113.59068794082911,123.89817933364174,119.29553820828838,125.11647367145386,139.65253737905482,150.95158806493797,148.07457368078565,154.25179054973927,147.15026140163758,150.07239089770638,155.07666859600286,165.27669781051864,170.23913593159784,182.3784525517984,193.2640621629673,196.8821955825275,194.91295886399328,193.2239312996118,182.1459626356728,173.53331433737918,170.00851023411056,167.02593378109532,163.48724864954758,161.8798005667437,169.7834118306901,171.52969211733702,178.8699039503755,180.40130302888764,170.30104140582023,158.13808958277536,160.29413047654143,162.25222926023446,171.75709163023382,172.34167792914303,166.65245551511566,159.02317533938876,153.40964776139077,155.0361100541242,165.39213343500583,168.81869762823928,172.7987396292958,177.66746900943878,182.92424108514425,191.0643648911773,194.76463469656437,180.74399889440684,175.04078839945151,178.11288269598944,177.9311358001338,179.77389370142797,186.5079701558661,192.57787687771037,201.8085783254128,201.75422064094627,215.7542031582949,214.62751535512828,210.296555991128,189.3785287985667,211.1302056736708,,,,,152.1282922572894,157.32815362004493,152.1662773370307,134.6024976001893,147.1592859129072,138.68568751205936,132.96655077789035,123.61101079335846,123.4414786554596,116.032413685857,35.677302187009055,53.865221877936456,73.05875511010777,71.61393747687937,65.40150825671867,58.01796810703922,49.88221948963656,52.44040348300772,61.515414113188456,55.29111206874551,114.50611241240406,136.4069395095496,142.37105393721697,140.61025644247752,140.685040783753
1985-02-03 18:32:14+00:00,11.162373352863169,1.473099886582847,-0.3603078567495731,-0.3612803458769849,-25.516912217215143,-21.460003601633392,-32.817300722995355,-46.412651351283095,-44.01682102497081,119.53568288775016,133.629852377205,133.62851678403374,136.9781267160729,135.8729204659047,130.20137309074696,130.1954740657421,123.36086757181808,120.13913406104032,117.75087581631443,114.96524257693116,112.83994512419233,108.39281346106898,104.50516498970175,100.27260555839484,101.06971850494928,100.51141944187636,94.30962963635884,95.7056336572714,95.95635705966924,93.09786248795074,83.44589402003946,93.59230609755656,91.36997632790738,90.46578278972406,112.304784645963,154.6566411006186,159.28252224950293,161.0295887130183,163.88742253709805,165.31160225382757,124.4746257154068,129.35514998306013,136.4557717888965,132.68849311531272,115.35904962358704,115.35725701687616,110.333695705732,120.46086169785548,128.7036584064924,132.9496809321783,106.01799797532504,84.5066018023867,84.99935577371303,94.28587773621992,97.43054518137512,98.22011564910228,106.1707561101611,92.44046447114344,78.47515513289936,51.530082405049946,44.559799150939625,27.519730470065777,23.27746900108842,17.15071393142967,19.618141266247985,17.263084849419574,26.70262471277707,31.44997295590862,41.595182059418285,47.12974518407122,52.17435076312368,53.71551138249093,55.29968592876533,51.07624647402607,54.0383694887632,54.39536975672816,53.67833120426796,55.825832118580905,64.73217287172368,71.9757241138921,79.71730547995968,88.56360362267232,109.44883675016744,116.79044693345516,116.59654759375982,126.37170499185214,139.12136321408892,142.91977427122808,143.9272502901092,152.61206899429192,146.21928320816312,151.7506891921791,163.58871006740645,170.3821686882433,172.81049095480512,174.82633147674272,180.0772149280712,190.00017024189145,186.88792012427052,188.0079969374767,181.1550756340229,177.28238830296812,178.07781564397416,170.42409213758057,161.5335298772739,166.8741119091638,174.3638980850246,181.44740598871732,184.13810978698115,184.17831781947504,174.48008704486085,172.13115281716716,172.67464893699298,171.3969342366274,175.65188052158547,176.80714264273522,176.3311804465922,169.95739647187045,162.81689672627897,162.55986521387112,164.55338857341414,174.9800888245684,179.00144267678257,181.17122192537235,187.0542634630371,181.8327651318697,168.95373532992528,144.13629846493336,,177.50409520247493,177.36919130311176,178.3773161516423,175.6599756447428,193.134030375528,208.1077065861004,213.09400712403368,224.0217577744028,223.16468999752107,212.7050292875213,190.8681157724768,210.50091612986148,,,,,71.86138191777445,52.43897481506064,153.16019623328316,144.58384613445477,116.30331025881684,-22.02924427603392,-23.073900491608207,14.69411057736634,25.45445238973088,26.79644310034671,39.99455682698316,55.62356334222704,61.69997370154034,57.11590178670191,53.98045882052005,45.976349850639934,40.687706011116326,37.31148068395839,34.82698166955888,29.89498410135706,41.648674833586405,47.53598127570842,43.87988045466194,35.91601047302743,35.62151080090569
1985-03-14 18:38:02+00:00,124.74858935545508,130.2428323325405,126.15293873806364,127.42272106657852,127.32410050076544,127.32303443609062,123.1797091220827,123.1783793224975,121.99072137876875,121.99058436606646,122.20597116087517,120.22796290751168,121.43193143650508,121.98831181538372,114.68275369651953,114.56341743519722,106.21471983008072,105.41773351769272,100.3536513094893,99.88066896888094,97.2396154973086,93.85302921316256,88.2143758158069,87.79661581160693,88.82808441099203,83.71279170552322,79.18797038089818,80.03142695963953,77.8105407537251,76.32596420435947,67.25480738367435,74.49280188474344,73.48874614826016,72.831720162045,94.85219879652892,135.77276862104745,139.34688326818554,142.07233380976214,149.63845975495687,149.64219598518028,111.38843424034532,116.11982572711128,128.31114126100786,128.30479003368657,116.17966159595136,139.041574306321,143.60890344262933,141.56309057692928,141.85525275551274,146.02537538153737,143.94180912347338,125.18799032240896,82.67356837210778,89.05202305229076,94.81677781629382,101.63617771039932,106.15654020576557,88.22357031917795,84.77609092746717,64.79791055550629,48.489183318808,32.73673622659048,20.16238176900685,9.074980723873288,11.430910297951216,7.868070014224731,14.647901768019317,19.380535739833533,29.48382701002615,33.979153206353146,41.74003165774717,38.02877680271214,38.88692847282823,40.6700304848038,41.77799792731636,42.03381843986477,41.73507940653111,44.11968501641738,53.34662956683252,60.02203427418428,66.7775078056994,76.40171842276004,101.92696598616747,109.41820854536915,103.70190221738636,112.75667212752374,130.06323776936796,132.76562268571783,136.38755890752032,140.88927116870872,136.12180764618182,141.07843479030066,154.23901002934372,159.6488226541086,165.1843364947926,171.929752268506,177.2104891665322,180.2068323806716,179.04546862546246,181.06048862334603,173.94313030978498,165.6666152088838,161.10423691697537,148.79131779714484,147.8836165264603,157.51950555052363,162.0845478924007,159.70556419427135,159.0321677381706,164.2457861457209,159.89812931311425,158.85349791824387,149.58133016055922,150.37983747643912,156.23885596893035,160.04215084691802,154.6393083249787,149.1974233279822,141.8482322402651,142.3364459508906,155.09602565907164,160.2946101397435,159.2415961360349,163.08856030089115,174.810140080539,179.00199269183267,184.13494424326748,183.39121417793035,166.92973623373553,165.17867015306507,174.19780740331458,176.23480279369028,175.43632048247807,177.20053347445133,188.95523512548857,195.0348317850824,200.89212987648264,204.5069416487605,194.2972077466878,173.15915321429043,202.23816580285023,,,,,144.11734040500858,158.77891984955016,157.00054357781084,134.02292456184765,113.48225457343167,122.84676550752722,122.84970211136633,113.42275598213166,109.44766295641094,18.39166237982274,,56.22086541596572,59.251719236043314,63.23119133694083,56.94752241592256,44.60257290432645,36.09389097515451,36.64006615293008,38.4160534005989,32.35497164491215,32.96483166039026,102.50639365819484,109.08363307065513,109.73765040293064,124.61149307928812
1985-04-15 18:37:54+00:00,155.78019072326694,158.21439741542994,154.3065603443278,154.06492016658646,146.41291735582124,145.5802672324644,136.11983468043036,135.72561882263278,133.06997895938017,130.0228473909605,130.63835792075585,130.85852892361922,133.08660869484746,133.18998976054587,126.6038453454452,126.233495153075,126.03098551140312,124.95824719357026,114.2867121809897,108.62050980624036,108.27916114084614,107.7435953051302,104.5496891266854,101.90728467864788,104.12164158958026,103.72696276333566,97.8398631346795,98.37803866306366,95.12144711291344,94.0284647421788,92.07327160281034,101.1831832140213,98.36002577353044,101.43195289650508,126.0851700010732,161.39204251006316,159.60315794804805,169.7782860822629,170.2285180274232,170.23263225576014,129.7654804350323,133.2718396807348,143.23790077754813,141.56562478016193,119.0768570358402,133.9080331592682,149.5747487877782,146.92264553505996,142.26749340388005,150.41463805634987,134.62063546475747,101.52393981628909,87.26137377782294,93.4330591192286,98.7791916286734,103.49662632436085,104.73414039401474,94.21725311078536,86.42152935722181,67.17869230340483,57.75035930149297,41.40236550746732,36.95382972315239,23.378056016918983,20.31926638742913,18.495545150120464,27.668985431043964,28.61727358615144,39.80931644431724,48.251726781315824,58.15146079124502,57.24896457923701,59.06416668401874,61.25752785080961,63.4278959201392,64.19298415029942,66.2616704356832,68.73435307593843,78.98989173007807,82.68204953881047,90.88793290387572,103.37392773163566,118.46630167587796,130.79437551672004,123.70598871202868,132.45504522336256,145.40932764585503,153.8779303942731,155.14681854066905,164.8377718430426,158.5987632942432,163.07569536315094,171.48198845157768,178.34958857505268,181.52343642407968,183.24079136765133,193.80787256095616,199.6658097473218,197.5174334991885,197.07329568833893,187.8527479954171,178.4403263148217,174.28569587473578,,164.25042868728238,164.4644859893312,,,,181.3158491329802,169.8736804723039,163.66533327848595,170.55702970402697,172.92374655562895,181.1449056321792,181.05721725391948,173.1574585741008,163.8863717105336,159.77114463951406,160.61189421194683,169.78704138506157,172.64914877477446,181.92016901039247,186.38049743963967,193.1225548750577,194.73104025656968,198.63186120459324,202.4737344055449,189.26147853904516,191.36637791383131,199.0372253365933,202.48774321516868,203.57798354173835,205.40627014684023,206.675172000962,216.17517610963853,216.539918677311,218.3686521610512,211.016679135181,194.876167760567,213.70328110074996,,,,,170.9007815166411,174.9888284119707,172.3394131052967,153.79068995280434,156.64975090853065,151.43367410556883,148.78922820785604,141.8887142754819,141.7042446215502,131.3891558363127,,103.01354797960934,110.30528027499533,115.98032382485226,118.61089183633572,126.66722866297016,125.1466349327688,103.10659040347944,,,150.23008874221938,149.58530935339272,156.29944868057322,155.01598959367251,155.52607813443504
1985-06-27 18:31:52+00:00,129.72379412613196,132.1818055657459,128.3175123149275,128.31607854828616,127.09123586103304,127.87677078956231,123.76934053063692,122.6949781384628,118.07167540354924,118.07161970258689,117.79348952699117,116.8296618354434,115.67768784053028,114.01555404378324,107.04728173734848,107.2572202746476,107.4635513405506,106.98218176512133,100.3019908528147,97.50473850866985,96.9176242758039,90.504515444112,86.03807359590144,83.4030239671279,83.40590882351461,80.21108914636568,75.86510450240552,76.04060029909978,75.6670586906504,76.92122158859802,69.68446916268802,73.46294209568589,71.09433849491919,74.30164286643512,101.2635998953978,143.30300084140436,143.4034957956698,144.1593253039331,144.9928354578609,154.78150020191657,110.15220001150917,121.22072814329262,130.13614858362598,130.12991535742316,108.4136518397048,134.7429929342881,142.0184161038356,138.2458154446351,136.58075845674364,148.13205016408807,140.97232092728933,112.19080997992742,88.4737838656031,97.30040331929402,95.03066424815329,101.7110743550424,97.90335981645896,74.73995857972896,60.83808430965114,48.84879539083192,43.93631436867494,33.06527900806491,20.635400465483432,12.703151100453894,11.36676535022524,8.433473186720828,12.370599675984504,16.164391235988983,24.68337015072763,31.66957878982952,39.84715601054538,41.521030844254255,44.73570922374636,47.974359165568096,48.79754195176773,47.24809199606641,46.995679738669736,51.87488638786856,61.20503734372872,65.21030845496547,72.50105365408194,83.02523606768958,103.4637829210376,110.43576971227137,107.80171700250608,114.8580198417938,132.907644223848,136.86535311240044,134.8801019821578,141.22861744992665,131.10280054756498,134.58876002881306,148.72534557429717,155.7704851340836,162.35161192263465,165.24170798295413,172.74036108906904,178.31721548455596,182.12129531503777,185.5445520972126,176.81840953018252,168.3519207298341,161.06552809770346,,,,153.67140223689566,163.0209917802304,176.2993516961523,176.30404586764374,162.76814381482265,156.01303792001457,157.62927850160156,157.7582116519038,161.81445110366343,168.01489234416613,163.95025394823512,156.4332798593737,149.30019243176545,152.1640108071054,162.4149669906502,164.9240074660774,168.6125034954582,172.5683028923178,179.98606527479302,184.5967174537372,187.92407488056003,193.5422278359878,185.563225247222,189.1573389631188,192.0334841083052,195.4921701038054,200.73143208219037,203.6327398609453,204.4939156418517,207.9018284934668,215.45621115393905,212.02645935919983,206.2151561141852,197.97062357032505,203.57954127768735,,,,,166.87562002780405,167.64384819781773,164.49072161995957,152.44088623506036,156.6560463898962,151.54583504318566,149.9598135107303,140.33900625273074,139.96831013839684,133.53348261071218,122.7646641323126,121.04623289884776,128.78136925221918,132.4158151498345,134.12568922815356,132.46690024892854,134.32365460596293,128.6810426415689,128.36701934140487,123.43713312568686,123.43378284273626,132.1090724190409,133.97771111140264,132.05884536006636,130.45460082087385
1985-07-04 18:37:36+00:00,143.3889102573681,144.72400220064878,140.58059435126933,140.68521394445955,139.48586926818788,138.97455153063487,137.00328341628918,139.10383344627223,135.3461781041148,133.25985836996628,133.3770302486364,133.63618985554675,134.323831227021,133.76103332467463,125.5477842020006,125.54148920840198,122.71117465571216,119.491751905524,112.58230689464384,110.05671973944104,107.01950032895655,103.54061714706664,99.32619270438204,97.01289627909028,96.17134130584871,94.66883772273928,86.1661339724559,86.49676816069933,87.13446234027656,88.093446546595,81.84921816269909,86.05352251255398,77.86835021837372,77.86463182210933,105.49897548625331,147.00047385054418,148.70785079781538,158.89764446008826,174.04469340801234,188.0988933053796,140.6812674987653,157.27807728951328,176.3370127411756,175.80538745366908,175.90720234565185,204.3827341662432,210.43533661041047,206.19037551025272,211.71502968346076,207.00137295865525,201.04873019292597,174.79937399467144,152.47523721672923,158.7403391643238,181.0679229346777,181.068524898514,184.26324235003003,175.00910652585068,162.0835204626066,147.21995784401926,129.76722208539283,96.15823790412792,88.73402250215442,70.779701871735,74.8135609933404,78.11424094404141,87.3078099802265,92.02681206269452,96.8983359947197,92.80762223512431,95.05779363834456,94.57754647889824,98.23708346463378,105.87127193407755,105.79245856809388,98.50533051052636,98.33622695410172,100.95463305775831,114.42627674367095,115.86681851715883,129.74715297822752,145.1806638072062,175.22300660330546,184.7865087993907,176.68456911769087,187.7045324843345,197.94128480332375,195.30193990160936,187.8925474513489,195.61210758637532,192.00287218997863,196.78263112599475,200.3149196164821,201.41304056740452,208.76583921103668,225.24600148505556,232.3013610577964,239.43694283188591,237.7220132397311,239.9290745470186,226.03208384863885,217.1118912815368,211.788548086884,214.07917756687976,,,,,,,210.56618851313277,200.39816704619125,194.40534852210652,188.05320388422876,181.16924345434072,181.16662383726904,181.11313574344808,179.7998517507863,163.99387797696818,,,226.36884068223992,231.3289301286536,216.56137092262824,211.7779741357776,227.0187514525172,233.77706818077277,234.1360506788797,230.3242300634111,232.5776087764781,240.6547134137013,246.25380710732225,244.9695021424589,242.9024403451563,252.7519780576007,251.95713065005293,259.88539556484045,254.8679411887194,244.63813098499867,234.6226159200418,244.0203191103821,,,,,243.3837909766283,240.8549195168088,231.69199378886705,226.3368078813136,218.32143153003025,203.84517756253803,182.46071546307448,167.1807597850001,162.83629950809748,151.03896985593104,,,150.08682180113132,159.14091181141353,160.01798610529738,153.277895771418,155.5885845826158,151.74403728064377,147.46102206209306,150.08697770425468,153.9366227898131,151.57837666220962,147.48808451588854,145.58444323216725,142.99293830155628
