,dates,bjt6,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91
16,1986-01-23 15:00:53+00:00,,351.1345257984547,350.4351242095176,351.2136722570938,351.01086641150334,349.0333224299456,345.69630866505446,338.94072484802933,335.1079572085727,,,,,,,,312.06560381449884,310.2920360110352,307.1126824692874,308.70195086725187,304.3618137648797,302.27412177174483,299.6353568949422,299.3619514594096,,,,,292.34876698585083,293.62277802106547,293.5880330099652,,,287.47226052937833,287.0463358048842,287.68908862487604,287.12793388953776,289.1573691112113,285.0812805790289,,,284.0410476123777,284.9126004323648,283.78120716029287,284.1959131317914,284.56967185172294,283.5095523708983,287.1939905095564,,,280.31879541989247,277.40334701090273,280.2109504982368,278.2477860620503,279.7493668923817,286.61299087254764,286.1651538013938,288.03229291336174,284.17427204382597,281.03451523502775,280.2086405631752,282.0075853071737,282.16200104671304,,,,290.8375124460571,291.4791420827466,299.43969070681504,305.42218519723417,305.3761673566131,307.19168766967675,309.5764788637845,311.12995653795224,307.8768276540127,309.3317892143279,312.79652644529983,314.77488069717174,312.1446729859621,309.8101651823217,309.5537492518721,306.4629120916897,304.91873981535366,,,
17,1986-03-28 14:59:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.192576627279,271.9194906052777,275.4620343341016,275.0286521906658,284.98555776974865,284.0270670185937,,,,,,,,,,
18,1986-05-31 14:57:53+00:00,364.54860143218093,361.47173754751856,351.973193826597,341.43629171797136,333.77329557258133,327.40645850935186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.66375093760223,275.8453895417787,276.5298186301021,281.17933824666466,288.8615092765494,292.6276374632931,292.1366184887869,290.4809732743169,289.00086340762766,288.20531426771106,285.3029459327649,,,,,,,,
19,1986-06-16 14:57:24+00:00,,339.7259472994964,336.287292674784,331.14486068538963,324.50502235011425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.4360241215728,278.99471669300453,283.2953864396256,289.2021134296502,294.39693263783727,290.4457361319409,287.09770018743075,285.18501648592985,285.3620430154678,285.0254035762622,,,,,,,,,
20,1986-07-18 14:56:20+00:00,,328.21618134561686,330.5439095622586,330.64757536867626,323.4483596114503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.69500382863026,271.1442897053453,269.89006202572807,266.94113363189285,,,,,,,,273.13924289465604,278.41743384542184,283.33645287358604,285.41458431272946,290.0352759716102,292.3036855060596,291.6813842316043,288.411185662237,290.7379504112578,292.80115418190184,291.2454940451346,,,,,,,,
21,1986-08-19 14:55:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1986-09-20 14:54:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1986-10-22 14:53:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.2546553973577,281.8623396351308,279.7498325039058,281.215254672466,,,,,,,,,,,,,
24,1986-11-23 14:51:51+00:00,,,327.62224626664977,322.68267771161646,320.6175281483973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1987-02-27 14:54:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
