,dates_in_situ,transect_id,cross_distance_in_situ,dates_sds,tide,cross_distance_sds_raw,tide_tide,transect_id_sds_tide,cross_distance_sds_tide,timedelta
34,2001-05-15 00:00:00+00:00,582,133.65,2001-05-10 00:00:00+00:00,-0.375520698,143.6555031,-0.375520698,582.0,133.07900927142109,5 days
35,2001-07-11 00:00:00+00:00,582,140.43,2001-07-21 00:00:00+00:00,0.9687971704151178,151.1375566,0.9687971704151178,582.0,150.82303115431628,-10 days
36,2001-08-08 00:00:00+00:00,582,139.46,2001-08-06 00:00:00+00:00,0.1326600458638218,153.3613485,0.1326600458638218,582.0,146.66409690422972,2 days
37,2001-09-20 00:00:00+00:00,582,134.36,2001-09-23 00:00:00+00:00,-0.963924291,147.4299788,-0.963924291,582.0,132.36185440248363,-3 days
38,2001-12-21 00:00:00+00:00,582,123.81,2001-12-28 00:00:00+00:00,1.190229458775605,129.063501,1.190229458775605,582.0,130.43929837446905,-7 days
39,2002-01-08 00:00:00+00:00,582,128.48,2002-01-05 00:00:00+00:00,-1.135892608,149.0281709,-1.135892608,582.0,132.6473112708136,3 days
40,2002-02-20 00:00:00+00:00,582,129.63,2002-02-22 00:00:00+00:00,-0.174746381,143.8031896,-0.174746381,582.0,134.75932407571008,-2 days
41,2002-09-11 00:00:00+00:00,582,134.1,2002-09-10 00:00:00+00:00,-0.198008244,153.3599693,-0.198008244,582.0,144.13853233620674,1 days
42,2002-12-13 00:00:00+00:00,582,118.0,2002-12-15 00:00:00+00:00,0.6015657689432603,116.2530885,0.6015657689432603,582.0,113.1352699152333,-2 days
43,2003-08-29 00:00:00+00:00,582,119.33,2003-08-20 00:00:00+00:00,-0.688169176,140.1462742,-0.688169176,582.0,127.18315076067616,9 days
44,2004-09-03 00:00:00+00:00,582,128.5,2004-09-07 00:00:00+00:00,-0.540141311,153.2993716,-0.540141311,582.0,141.46623178274712,-4 days
45,2005-05-02 00:00:00+00:00,582,127.42,2005-05-05 00:00:00+00:00,0.982778678,138.9432953,0.982778678,582.0,138.73549893766997,-3 days
0,1998-04-14 00:00:00+00:00,583,129.54,1998-04-07 00:00:00+00:00,0.7291128259184754,139.3191058,0.7291128259184754,583.0,137.17492887073058,7 days
1,1998-05-08 00:00:00+00:00,583,132.97,1998-05-18 00:00:00+00:00,-1.182902483,156.091838,-1.182902483,583.0,139.35212443265294,-10 days
2,1998-10-15 00:00:00+00:00,583,131.94,1998-10-25 00:00:00+00:00,-0.392582726,148.2686563,-0.392582726,583.0,137.56191788699888,-10 days
3,1999-02-21 00:00:00+00:00,583,134.49,1999-03-02 00:00:00+00:00,1.0949898492015262,117.0335788,1.0949898492015262,583.0,117.68235632325025,-9 days
4,1999-04-26 00:00:00+00:00,583,129.84,1999-04-19 00:00:00+00:00,-0.761008127,154.6628894,-0.761008127,583.0,141.14374334685897,7 days
5,1999-06-17 00:00:00+00:00,583,131.74,1999-06-22 00:00:00+00:00,-0.331787363,146.1762168,-0.331787363,583.0,135.93356512971434,-5 days
6,1999-08-13 00:00:00+00:00,583,138.73,1999-08-09 00:00:00+00:00,1.0065725103672418,137.6227821,1.0065725103672418,583.0,137.59661810341376,4 days
7,1999-08-26 00:00:00+00:00,583,138.95,1999-08-25 00:00:00+00:00,0.8827853245473936,149.2541705,0.8827853245473936,583.0,148.28306610900043,1 days
8,1999-09-16 00:00:00+00:00,583,137.36,1999-09-18 00:00:00+00:00,-0.65488053,148.4091228,-0.65488053,583.0,135.70011115959247,-2 days
9,1999-09-30 00:00:00+00:00,583,132.83,1999-09-26 00:00:00+00:00,0.988662733,138.5607308,0.988662733,583.0,138.39785090887554,4 days
10,1999-10-19 00:00:00+00:00,583,126.3,1999-10-12 00:00:00+00:00,0.1248181639996747,140.3744766,0.1248181639996747,583.0,133.61736334735875,7 days
11,1999-10-29 00:00:00+00:00,583,131.45,1999-11-05 00:00:00+00:00,1.1262345927780355,135.7506272,1.1262345927780355,583.0,136.63791415743555,-7 days
12,1999-11-15 00:00:00+00:00,583,131.88,1999-11-21 00:00:00+00:00,1.200556596574281,136.6466279,1.200556596574281,583.0,138.10125845747964,-6 days
13,1999-11-30 00:00:00+00:00,583,132.74,1999-11-29 00:00:00+00:00,-1.053578364,154.0056835,-1.053578364,583.0,138.25317689805937,1 days
14,1999-12-30 00:00:00+00:00,583,134.02,2000-01-08 00:00:00+00:00,0.7617925682187495,142.6947201,0.7617925682187495,583.0,140.80000685890985,-9 days
15,2000-01-26 00:00:00+00:00,583,127.77,2000-02-01 00:00:00+00:00,0.8834887594931988,130.817417,0.8834887594931988,583.0,129.8516823688758,-6 days
